Student_ID,Attendance,Marks,Study_Hours,Result
1,98,68,4.8,Pass
2,88,67,5.9,Pass
3,74,82,2.6,Pass
4,67,57,2.2,Pass
5,80,96,7.9,Pass
6,98,71,4.6,Pass
7,78,78,2.8,Pass
8,82,69,8.0,Pass
9,70,99,7.8,Pass
10,70,81,4.9,Pass
11,83,37,7.2,Fail
12,95,35,2.3,Fail
13,99,39,3.0,Fail
14,83,48,5.9,Pass
15,62,61,6.9,Pass
16,81,43,7.0,Pass
17,61,49,3.8,Pass
18,83,76,7.2,Pass
19,89,85,7.0,Pass
20,97,97,7.5,Pass
21,61,86,6.5,Pass
22,80,38,5.7,Fail
23,92,57,5.1,Pass
24,71,49,3.6,Pass
25,81,77,7.6,Pass
26,84,63,7.8,Pass
27,86,70,3.0,Pass
28,87,47,3.1,Pass
29,75,66,4.4,Pass
30,74,93,4.1,Pass
31,62,62,8.0,Pass
32,96,100,2.2,Pass
33,66,76,1.1,Pass
34,80,79,4.5,Pass
35,68,96,2.3,Pass
36,98,91,3.6,Pass
37,77,40,6.2,Pass
38,63,62,6.0,Pass
39,84,62,3.2,Pass
40,73,78,4.8,Pass
41,68,64,4.6,Pass
42,85,96,5.5,Pass
43,61,96,2.8,Pass
44,79,35,5.1,Fail
45,87,61,7.9,Pass
46,66,96,4.4,Pass
47,67,37,7.3,Fail
48,94,61,4.0,Pass
49,73,43,3.5,Pass
50,76,96,5.5,Pass
51,95,71,5.7,Pass
52,99,85,7.0,Pass
53,63,78,2.6,Pass
54,61,58,4.5,Pass
55,65,93,5.0,Pass
56,63,66,6.4,Pass
57,88,86,1.3,Pass
58,77,96,8.0,Pass
59,85,92,4.3,Pass
60,93,86,3.0,Pass
61,69,46,7.2,Pass
62,95,73,6.2,Pass
63,73,36,7.7,Fail
64,90,37,3.3,Fail
65,74,90,4.9,Pass
66,67,93,5.0,Pass
67,73,36,7.9,Fail
68,82,36,1.5,Fail
69,99,88,3.1,Pass
70,80,35,2.3,Fail
71,75,53,2.9,Pass
72,77,36,4.4,Fail
73,83,87,3.6,Pass
74,85,78,3.8,Pass
75,84,66,6.9,Pass
76,100,66,7.5,Pass
77,88,89,1.5,Pass
78,74,90,2.5,Pass
79,60,51,5.7,Pass
80,84,72,3.5,Pass
81,66,58,2.8,Pass
82,68,45,3.1,Pass
83,83,50,3.3,Pass
84,60,93,6.9,Pass
85,67,37,2.0,Fail
86,83,54,6.0,Pass
87,70,93,4.9,Pass
88,76,70,3.1,Pass
89,67,53,3.9,Pass
90,94,53,2.8,Pass
91,94,54,5.3,Pass
92,92,86,1.6,Pass
93,64,67,1.0,Pass
94,98,74,5.4,Pass
95,100,73,2.4,Pass
96,87,35,1.5,Fail
97,66,45,3.8,Pass
98,68,91,1.4,Pass
99,67,84,7.2,Pass
100,71,57,1.2,Pass
